date,fund,ret
2022-06-28,Equity Min-Variance,-0.00882949944309497
2022-06-29,Equity Min-Variance,0.0005428236705264436
2022-06-30,Equity Min-Variance,-0.007531925399341603
2022-07-01,Equity Min-Variance,0.014855575945294054
2022-07-05,Equity Min-Variance,-0.0035842551580318547
2022-07-06,Equity Min-Variance,0.0015119490621402292
2022-07-07,Equity Min-Variance,0.0023814105435537745
2022-07-08,Equity Min-Variance,-0.0028971807384717664
2022-07-11,Equity Min-Variance,3.708816486964141e-05
2022-07-12,Equity Min-Variance,-0.005766394251084911
2022-07-13,Equity Min-Variance,-0.0012848362522576095
2022-07-14,Equity Min-Variance,-0.004849745198435118
2022-07-15,Equity Min-Variance,0.010472486931727995
2022-07-18,Equity Min-Variance,-0.012056647963672246
2022-07-19,Equity Min-Variance,0.01373831945115783
2022-07-20,Equity Min-Variance,-0.006591769133093808
2022-07-21,Equity Min-Variance,0.004076885241169855
2022-07-22,Equity Min-Variance,-0.00019282955647786248
2022-07-25,Equity Min-Variance,-0.0034270592914200566
2022-07-26,Equity Min-Variance,-0.004929383799956574
2022-07-27,Equity Min-Variance,0.004911075794438877
2022-07-28,Equity Min-Variance,0.007821992294587623
2022-07-29,Equity Min-Variance,0.002871323832343559
2022-08-01,Equity Min-Variance,-0.0049072123043371685
2022-08-02,Equity Min-Variance,-0.005117648262973686
2022-08-03,Equity Min-Variance,0.01356952810388532
2022-08-04,Equity Min-Variance,-0.007979642346279993
2022-08-05,Equity Min-Variance,-0.004352626098069772
2022-08-08,Equity Min-Variance,0.00420625648617875
2022-08-09,Equity Min-Variance,0.0020238075499969385
2022-08-10,Equity Min-Variance,0.01143178780837705
2022-08-11,Equity Min-Variance,-0.0013165296985129947
2022-08-12,Equity Min-Variance,0.014423644064187554
2022-08-15,Equity Min-Variance,0.011788224320426897
2022-08-16,Equity Min-Variance,0.012986216227388568
2022-08-17,Equity Min-Variance,-0.006256712647841403
2022-08-18,Equity Min-Variance,-0.0025283502383148873
2022-08-19,Equity Min-Variance,-0.004583921650697505
2022-08-22,Equity Min-Variance,-0.014017019017675856
2022-08-23,Equity Min-Variance,-0.005095277620638043
2022-08-24,Equity Min-Variance,0.0002523777545034281
2022-08-25,Equity Min-Variance,0.005763842580509217
2022-08-26,Equity Min-Variance,-0.01807051815656512
2022-08-29,Equity Min-Variance,-0.004091981351286386
2022-08-30,Equity Min-Variance,-0.008370199351882527
2022-08-31,Equity Min-Variance,-0.0021764216384018227
2022-09-01,Equity Min-Variance,0.011715773566094285
2022-09-02,Equity Min-Variance,-0.009395292346210277
2022-09-06,Equity Min-Variance,-0.0025026019908783097
2022-09-07,Equity Min-Variance,0.016646664444108034
2022-09-08,Equity Min-Variance,0.002658499934556953
2022-09-09,Equity Min-Variance,0.009125031749153368
2022-09-12,Equity Min-Variance,0.008517685460792642
2022-09-13,Equity Min-Variance,-0.030131581847077576
2022-09-14,Equity Min-Variance,0.0062301821732274765
2022-09-15,Equity Min-Variance,-0.010520344739358718
2022-09-16,Equity Min-Variance,0.0007209184358078068
2022-09-19,Equity Min-Variance,0.0036877453746710196
2022-09-20,Equity Min-Variance,-0.013462912130892195
2022-09-21,Equity Min-Variance,-0.013005714467361568
2022-09-22,Equity Min-Variance,0.00332258536194854
2022-09-23,Equity Min-Variance,-0.016591205870602903
2022-09-26,Equity Min-Variance,-0.010554213367134802
